"year","sex","age","deaths"
1993,"female",40,177.626325632379
1993,"female",45,255.370523264681
1993,"female",50,305.861633328756
1993,"female",55,380.039597614368
1993,"female",60,511.746442290247
1993,"female",65,606.699682700121
1993,"female",70,684.042840270202
1993,"female",75,634.23690717913
1993,"female",80,981.249881429683
1993,"female",85,2058.61967449122
1994,"female",0,1493.12903988539
1994,"female",1,284.969620981443
1994,"female",5,80.4227454072967
1994,"female",10,76.4016081369319
1994,"female",15,117.618265158171
1994,"female",20,133.702814239631
1994,"female",25,119.628833793354
1994,"female",30,145.766226050725
1994,"female",35,198.041010565468
1994,"female",40,206.083285106198
1994,"female",45,224.17840282284
1994,"female",50,306.611716865319
1994,"female",55,383.013325002251
1994,"female",60,555.922227627939
1994,"female",65,589.096610108448
1994,"female",70,678.566914374066
1994,"female",75,612.218149413046
1994,"female",80,1022.37663072464
1994,"female",85,2059.82756674439
1995,"female",0,1521.26829638225
1995,"female",1,267.875636046684
1995,"female",5,83.5852548566721
1995,"female",10,84.5923061200054
1995,"female",15,137.966023076676
1995,"female",20,135.951920550009
1995,"female",25,149.043586973343
1995,"female",30,132.930766760009
1995,"female",35,165.156407186677
1995,"female",40,233.017853271202
1995,"female",45,263.84743099335
1995,"female",50,304.129481526686
1995,"female",55,418.933325546694
1995,"female",60,558.387353679708
1995,"female",65,623.364732003373
1995,"female",70,785.499985400051
1995,"female",75,688.823064120044
1995,"female",80,953.677546376728
1995,"female",85,2306.14739303348
1996,"female",0,1317.47516365472
1996,"female",1,268.468975398733
1996,"female",5,81.4456442220875
1996,"female",10,81.4456442220875
1996,"female",15,85.4676513441659
1996,"female",20,129.709729687028
1996,"female",25,115.632704759754
1996,"female",30,142.781252833783
1996,"female",35,176.968313371449
1996,"female",40,183.001324054567
1996,"female",45,250.36994334938
1996,"female",50,324.77707510783
1996,"female",55,396.167701524722
1996,"female",60,558.053488188377
1996,"female",65,635.945420885504
1996,"female",70,812.445438659836
1996,"female",75,765.186854975414
1996,"female",80,955.742472644533
1996,"female",85,2405.16025900288
1997,"female",0,1348.55260191343
1997,"female",1,238.847917637708
1997,"female",5,71.4116241594291
1997,"female",10,86.4985870100127
1997,"female",15,110.637727570946
1997,"female",20,123.713095374786
1997,"female",25,88.5101820567572
1997,"female",30,120.695702804669
1997,"female",35,159.921806216186
1997,"female",40,219.263860095148
1997,"female",45,236.362417992476
1997,"female",50,307.774042151906
1997,"female",55,451.603087994136
1997,"female",60,568.275600705316
1997,"female",65,660.808972855562
1997,"female",70,784.522068230347
1997,"female",75,843.34807375769
1997,"female",80,919.298936362228
1997,"female",85,2375.25067494553
1998,"female",0,1255.28898417717
1998,"female",1,212.537931128561
1998,"female",5,86.6268344884182
1998,"female",10,64.466481479753
1998,"female",15,93.6778559002662
1998,"female",20,128.932962959506
1998,"female",25,122.889230320779
1998,"female",30,148.071449648808
1998,"female",35,177.282824069321
1998,"female",40,221.603530086651
1998,"female",45,302.186631936342
1998,"female",50,343.485471634309
1998,"female",55,421.046707164637
1998,"female",60,607.395130192048
1998,"female",65,737.335381924676
1998,"female",70,817.918483774367
1998,"female",75,909.581762128391
1998,"female",80,893.465141758452
1998,"female",85,2406.41287898641
1999,"female",0,1092.14819821476
1999,"female",1,207.578811593554
1999,"female",5,66.5058328406532
1999,"female",10,76.5824741801461
1999,"female",15,107.820062332574
1999,"female",20,129.988673279459
1999,"female",25,130.996337413408
1999,"female",30,134.019329815256
1999,"female",35,173.318231039278
1999,"female",40,226.72443013859
1999,"female",45,317.414202194027
1999,"female",50,422.211272124753
1999,"female",55,447.402875473485
1999,"female",60,578.399212886893
1999,"female",65,714.433870970047
1999,"female",70,859.537506258745
1999,"female",75,915.966697759905
1999,"female",80,856.514513856897
1999,"female",85,2403.27895946906
2000,"female",0,1057.25977449987
2000,"female",1,168.524442708043
2000,"female",5,76.6937583581513
2000,"female",10,71.6481163609045
2000,"female",15,129.168435129518
2000,"female",20,128.159306730069
2000,"female",25,139.259719124012
2000,"female",30,122.104536333372
2000,"female",35,156.414901914651
2000,"female",40,197.789166292074
2000,"female",45,276.501181449124
2000,"female",50,378.42314979351
2000,"female",55,459.153421749458
2000,"female",60,592.358370476774
2000,"female",65,754.82804278812
2000,"female",70,842.622213540215
2000,"female",75,894.087761912132
2000,"female",80,847.667855537461
2000,"female",85,2325.03183233132
2001,"female",0,905.317086894412
2001,"female",1,157.118651406067
2001,"female",5,63.4517630678349
2001,"female",10,69.4947881219144
2001,"female",15,103.738596761698
2001,"female",20,124.157920097736
2001,"female",25,119.853330239244
2001,"female",30,119.122545814099
2001,"female",35,171.21904319892
2001,"female",40,242.728173005527
2001,"female",45,270.928956591231
2001,"female",50,365.60301577181
2001,"female",55,507.614104542679
2001,"female",60,631.987172675532
2001,"female",65,749.816066337891
2001,"female",70,839.438632424386
2001,"female",75,941.704737594057
2001,"female",80,831.923115778279
2001,"female",85,2335.62918340173
2002,"female",0,920.66521469762
2002,"female",1,163.106645164031
2002,"female",5,69.4713488661613
2002,"female",10,66.4508554371977
2002,"female",15,112.765088014639
2002,"female",20,101.689945441772
2002,"female",25,113.771919157626
2002,"female",30,151.348064748922
2002,"female",35,194.318410596654
2002,"female",40,239.625812031107
2002,"female",45,324.199628042086
2002,"female",50,368.500198333551
2002,"female",55,500.395078064959
2002,"female",60,658.46756751405
2002,"female",65,779.287304672592
2002,"female",70,924.270989262841
2002,"female",75,958.982020975639
2002,"female",80,1003.81064955888
2002,"female",85,2518.671928512
